municipality,harvested_area,production,value,year,state
coatepec harinas,"1,796.00","26,691.00","358,894.07",2013.0,mexico
donato guerra,220.00,"2,480.00","37,100.00",2013.0,mexico
ecatzingo,34.00,279.20,"3,229.68",2013.0,mexico
ixtapan de la sal,18.00,252.00,"3,131.80",2013.0,mexico
ixtapan del oro,110.00,"1,020.00","14,240.00",2013.0,mexico
joquicingo,110.00,"2,750.00","28,326.38",2013.0,mexico
luvianos,41.00,303.40,"3,337.40",2013.0,mexico
malinalco,95.00,915.00,"10,401.25",2013.0,mexico
ocuilan,164.00,"1,822.00","20,785.00",2013.0,mexico
otzoloapan,3.00,30.00,285.00,2013.0,mexico
ozumba,30.00,251.50,"2,821.00",2013.0,mexico
san simon de guerrero,15.00,107.44,"1,230.72",2013.0,mexico
santo tomas,50.00,455.00,"4,577.30",2013.0,mexico
sultepec,40.00,180.00,"1,552.50",2013.0,mexico
tejupilco,30.00,217.50,"2,602.36",2013.0,mexico
temascaltepec,364.00,"2,743.70","33,868.41",2013.0,mexico
tenancingo,530.00,"4,560.00","52,720.02",2013.0,mexico
tepetlixpa,36.00,380.80,"4,311.58",2013.0,mexico
texcaltitlan,5.00,60.00,720.00,2013.0,mexico
valle de bravo,165.00,"2,085.00","13,410.00",2013.0,mexico
villa guerrero,224.00,"2,637.50","28,928.38",2013.0,mexico
villa de allende,130.00,"1,925.00","24,900.00",2013.0,mexico
zacazonapan,1.50,16.50,181.50,2013.0,mexico
zacualpan,4.00,32.00,328.00,2013.0,mexico
acuitzio,802.00,"7,954.00","65,987.40",2013.0,michoacan
aguililla,20.00,170.00,"1,762.00",2013.0,michoacan
apatzingan,418.82,"2,081.54","20,753.00",2013.0,michoacan
ario,"11,553.00","124,700.00","1,643,908.42",2013.0,michoacan
charapan,0.00,0.00,0.00,2013.0,michoacan
charo,5.00,17.00,139.40,2013.0,michoacan
chilchota,339.50,"2,716.00","33,930.25",2013.0,michoacan
coalcoman de vazquez pallares,200.00,"2,340.00","25,609.40",2013.0,michoacan
copandaro,2.00,11.40,92.91,2013.0,michoacan
cotija,740.00,"6,210.00","73,463.99",2013.0,michoacan
erongaricuaro,405.00,"4,860.00","62,466.11",2013.0,michoacan
hidalgo,22.00,162.80,"1,301.72",2013.0,michoacan
huiramba,67.00,603.00,"8,321.23",2013.0,michoacan
irimbo,92.00,671.60,"5,768.67",2013.0,michoacan
jiquilpan,60.00,270.00,"4,770.00",2013.0,michoacan
jungapeo,23.50,197.10,"1,849.30",2013.0,michoacan
juarez,26.00,267.80,"3,319.69",2013.0,michoacan
los reyes,"2,828.00","31,108.00","407,346.15",2013.0,michoacan
madero,362.00,"2,087.40","16,543.20",2013.0,michoacan
maravatio,6.00,38.40,422.02,2013.0,michoacan
morelia,60.00,420.00,"3,486.00",2013.0,michoacan
nuevo parangaricutiro,"6,167.00","61,670.00","851,893.10",2013.0,michoacan
ocampo,41.50,362.85,"4,448.87",2013.0,michoacan
periban,"12,378.00","136,158.00","1,714,538.26",2013.0,michoacan
purepero,54.00,432.00,"5,367.60",2013.0,michoacan
patzcuaro,183.00,"1,647.00","21,843.68",2013.0,michoacan
querendaro,3.00,27.00,243.00,2013.0,michoacan
quiroga,59.00,531.00,"7,028.19",2013.0,michoacan
salvador escalante,"12,673.00","139,843.64","1,857,820.44",2013.0,michoacan
susupuato,168.00,"1,696.80","21,000.63",2013.0,michoacan
tacambaro,"13,302.00","159,624.00","2,013,167.65",2013.0,michoacan
tancitaro,"20,760.00","206,628.25","2,870,775.53",2013.0,michoacan
tangamandapio,900.00,"9,000.00","110,100.00",2013.0,michoacan
tangancicuaro,"1,118.60","11,186.00","144,063.93",2013.0,michoacan
taretan,862.00,"8,861.36","115,556.12",2013.0,michoacan
tarimbaro,20.00,90.00,720.00,2013.0,michoacan
tingambato,"2,892.00","29,135.39","368,896.65",2013.0,michoacan
tinguindin,"2,120.00","26,640.00","305,865.97",2013.0,michoacan
tlazazalca,0.00,0.00,0.00,2013.0,michoacan
tocumbo,415.00,"4,096.00","48,154.52",2013.0,michoacan
turicato,"1,989.00","23,868.00","306,267.78",2013.0,michoacan
tuxpan,312.00,"2,501.20","23,701.22",2013.0,michoacan
tzintzuntzan,14.00,112.00,"1,508.67",2013.0,michoacan
uruapan,"13,543.00","135,430.00","1,701,456.69",2013.0,michoacan
zinapecuaro,52.50,305.00,"2,430.00",2013.0,michoacan
ziracuaretiro,"3,590.00","35,911.16","489,404.81",2013.0,michoacan
zitacuaro,"1,073.00","11,000.70","140,880.93",2013.0,michoacan
cuernavaca,0.00,0.00,0.00,2013.0,morelos
huitzilac,0.40,3.48,28.71,2013.0,morelos
ocuituco,"1,437.00","11,448.90","99,617.41",2013.0,morelos
tepoztlan,34.00,374.00,"3,029.40",2013.0,morelos
tetela del volcan,"1,064.00","8,073.20","68,806.32",2013.0,morelos
tlalnepantla,224.00,"2,486.40","20,608.70",2013.0,morelos
tlayacapan,66.00,654.50,"5,355.50",2013.0,morelos
totolapan,80.00,720.00,"5,853.60",2013.0,morelos
yautepec,19.00,199.00,"1,856.35",2013.0,morelos
yecapixtla,459.00,"3,464.50","28,502.82",2013.0,morelos
ahuacatlan,4.50,40.50,256.95,2013.0,nayarit
amatlan de canas,2.00,16.00,73.20,2013.0,nayarit
bahia de banderas,1.00,6.60,34.32,2013.0,nayarit
compostela,7.00,55.16,263.89,2013.0,nayarit
ixtlan del rio,12.00,79.50,502.65,2013.0,nayarit
jala,20.50,123.00,775.50,2013.0,nayarit
ruiz,6.00,34.02,119.07,2013.0,nayarit
san blas,404.00,"5,352.38","15,464.78",2013.0,nayarit
san pedro lagunillas,4.00,30.24,142.38,2013.0,nayarit
santa maria del oro,14.00,188.00,"1,321.52",2013.0,nayarit
tepic,"1,868.95","15,339.10","82,371.77",2013.0,nayarit
xalisco,"1,677.00","13,080.60","73,480.66",2013.0,nayarit
acatic,29.00,348.00,"6,867.20",2014.0,jalisco
acatlan de juarez,1.50,15.00,59.25,2014.0,jalisco
ahualulco de mercado,10.00,70.00,896.00,2014.0,jalisco
amacueca,134.50,"1,062.55","15,366.52",2014.0,jalisco
ameca,51.00,596.70,"15,305.55",2014.0,jalisco
arandas,160.00,"2,809.60","53,683.20",2014.0,jalisco
atengo,46.00,325.00,"5,211.00",2014.0,jalisco
atenguillo,21.00,189.00,"4,703.00",2014.0,jalisco
atotonilco el alto,121.00,"2,964.50","56,386.01",2014.0,jalisco
atoyac,250.00,"1,980.00","25,145.84",2014.0,jalisco
autlan de navarro,52.53,525.30,"6,828.30",2014.0,jalisco
ayotlan,98.00,"1,274.00","32,461.00",2014.0,jalisco
ayutla,25.00,139.00,"3,050.50",2014.0,jalisco
cabo corrientes,11.00,30.00,257.33,2014.0,jalisco
chiquilistlan,166.30,"1,579.85","28,598.92",2014.0,jalisco
concepcion de buenos aires,897.34,"6,591.92","80,394.13",2014.0,jalisco
cuautitlan de garcia barragan,77.00,423.50,"5,187.88",2014.0,jalisco
degollado,38.00,665.00,"15,219.40",2014.0,jalisco
el arenal,32.00,294.40,"7,514.38",2014.0,jalisco
el limon,1.50,7.50,90.00,2014.0,jalisco
etzatlan,0.00,0.00,0.00,2014.0,jalisco
gomez farias,537.95,"4,776.93","42,154.07",2014.0,jalisco
ixtlahuacan del rio,35.00,420.00,"3,090.00",2014.0,jalisco
jesus maria,70.00,"1,134.00","22,552.60",2014.0,jalisco
jocotepec,10.00,80.00,920.00,2014.0,jalisco
la barca,37.00,140.00,"2,433.00",2014.0,jalisco
la manzanilla de la paz,181.90,"1,033.91","12,186.82",2014.0,jalisco
magdalena,9.00,88.20,"2,219.00",2014.0,jalisco
mascota,26.00,278.20,"7,092.76",2014.0,jalisco
mazamitla,192.21,"1,440.76","17,253.69",2014.0,jalisco
mixtlan,8.00,67.20,"1,611.32",2014.0,jalisco
ocotlan,1.00,2.30,34.50,2014.0,jalisco
pihuamo,45.00,135.00,"1,890.00",2014.0,jalisco
puerto vallarta,15.00,40.80,407.17,2014.0,jalisco
quitupan,322.25,"2,410.13","29,303.51",2014.0,jalisco
san cristobal de la barranca,4.00,52.00,540.80,2014.0,jalisco
san gabriel,478.73,"4,356.44","59,978.25",2014.0,jalisco
san juanito de escobedo,0.00,0.00,0.00,2014.0,jalisco
san pedro tlaquepaque,8.00,128.00,705.60,2014.0,jalisco
san sebastian del oeste,6.00,45.00,"1,093.00",2014.0,jalisco
santa maria de los angeles,10.00,61.00,915.00,2014.0,jalisco
sayula,277.23,"2,410.20","22,896.90",2014.0,jalisco
tala,32.00,292.30,"7,339.09",2014.0,jalisco
talpa de allende,30.00,294.00,"7,206.00",2014.0,jalisco
tamazula de gordiano,727.00,"7,715.30","71,048.57",2014.0,jalisco
tapalpa,682.00,"6,888.20","130,269.78",2014.0,jalisco
tecalitlan,186.00,582.40,"8,657.92",2014.0,jalisco
techaluta de montenegro,75.10,549.73,"8,697.75",2014.0,jalisco
tecolotlan,21.00,147.00,"2,375.00",2014.0,jalisco
tenamaxtlan,0.00,0.00,0.00,2014.0,jalisco
teocuitatlan de corona,46.80,348.66,"5,624.66",2014.0,jalisco
tepatitlan de morelos,98.00,"1,078.00","20,379.26",2014.0,jalisco
tequila,23.00,211.60,"5,380.67",2014.0,jalisco
teuchitlan,5.50,47.25,976.90,2014.0,jalisco
tizapan el alto,20.00,160.00,"1,838.00",2014.0,jalisco
tlajomulco de zuniga,50.25,642.90,"2,466.04",2014.0,jalisco
toliman,52.50,649.25,"9,697.25",2014.0,jalisco
tonila,334.00,"3,109.80","40,647.25",2014.0,jalisco
tototlan,25.00,625.00,"11,772.50",2014.0,jalisco
tuxcueca,3.00,54.00,586.44,2014.0,jalisco
tuxpan,630.70,"5,756.96","75,947.45",2014.0,jalisco
valle de juarez,12.60,88.20,"1,044.05",2014.0,jalisco
villa purificacion,60.00,246.00,"3,111.90",2014.0,jalisco
zacoalco de torres,22.00,170.72,"3,218.60",2014.0,jalisco
zapopan,25.00,422.00,"3,961.10",2014.0,jalisco
zapotiltic,577.60,"6,180.32","84,807.90",2014.0,jalisco
zapotitlan de vadillo,210.00,"2,046.00","34,145.10",2014.0,jalisco
zapotlanejo,0.00,0.00,0.00,2014.0,jalisco
zapotlan el grande,"2,381.12","20,953.85","259,863.36",2014.0,jalisco
almoloya de alquisiras,498.00,"3,936.00","36,516.00",2014.0,mexico
amanalco,17.50,178.68,"1,786.80",2014.0,mexico
amatepec,35.50,253.57,"2,690.34",2014.0,mexico
atlautla,112.00,"1,120.45","16,169.57",2014.0,mexico
coatepec harinas,"1,931.00","26,213.34","257,898.42",2014.0,mexico
donato guerra,393.00,"5,075.00","55,062.00",2014.0,mexico
ecatzingo,34.00,305.84,"4,424.77",2014.0,mexico
ixtapan de la sal,18.00,246.96,"2,653.66",2014.0,mexico
ixtapan del oro,134.00,"1,391.60","14,972.00",2014.0,mexico
joquicingo,135.00,"1,417.50","15,225.00",2014.0,mexico
luvianos,16.00,129.60,"1,294.20",2014.0,mexico
malinalco,171.00,"1,762.00","16,122.25",2014.0,mexico
ocuilan,210.00,"1,602.00","21,994.67",2014.0,mexico
otzoloapan,3.00,19.50,195.00,2014.0,mexico
ozumba,40.00,369.50,"5,394.18",2014.0,mexico
san simon de guerrero,20.00,141.86,"1,522.01",2014.0,mexico
santo tomas,50.00,475.00,"4,750.00",2014.0,mexico
sultepec,75.50,604.00,"6,390.40",2014.0,mexico
tejupilco,48.00,336.00,"3,752.00",2014.0,mexico
temascaltepec,388.00,"2,962.40","42,284.02",2014.0,mexico
tenancingo,775.00,"7,335.00","76,270.02",2014.0,mexico
tepetlixpa,36.00,388.00,"5,732.56",2014.0,mexico
texcaltitlan,8.00,94.50,"1,026.46",2014.0,mexico
valle de bravo,165.00,"1,620.00","15,630.00",2014.0,mexico
villa guerrero,221.00,"2,725.58","29,841.40",2014.0,mexico
villa de allende,280.00,"3,970.00","44,840.00",2014.0,mexico
zacazonapan,1.50,15.00,150.00,2014.0,mexico
zacualpan,10.50,89.25,816.00,2014.0,mexico
acuitzio,"1,070.85","9,242.25","157,118.25",2014.0,michoacan
aguililla,20.00,178.40,"2,139.50",2014.0,michoacan
apatzingan,385.82,"2,897.51","39,932.01",2014.0,michoacan
ario,"11,445.00","128,058.50","1,782,663.96",2014.0,michoacan
charapan,0.00,0.00,0.00,2014.0,michoacan
charo,36.70,135.79,"1,838.67",2014.0,michoacan
chilchota,526.60,"4,581.42","67,684.75",2014.0,michoacan
coalcoman de vazquez pallares,200.00,"2,362.00","27,742.19",2014.0,michoacan
copandaro,2.00,6.00,78.00,2014.0,michoacan
cotija,870.00,"7,728.00","113,242.38",2014.0,michoacan
erongaricuaro,415.00,"5,104.50","71,848.49",2014.0,michoacan
hidalgo,22.00,167.20,"1,714.70",2014.0,michoacan
huiramba,69.00,634.80,"8,709.68",2014.0,michoacan
irimbo,92.00,680.80,"6,059.12",2014.0,michoacan
jiquilpan,60.00,432.00,"4,536.00",2014.0,michoacan
jungapeo,23.50,199.70,"1,876.32",2014.0,michoacan
juarez,26.00,270.40,"3,392.35",2014.0,michoacan
los reyes,"2,890.00","33,166.00","512,555.05",2014.0,michoacan
madero,732.00,"4,448.00","70,420.00",2014.0,michoacan
maravatio,6.00,40.80,401.47,2014.0,michoacan
morelia,479.00,"2,874.00","42,152.01",2014.0,michoacan
nuevo parangaricutiro,"6,500.00","63,339.00","911,208.32",2014.0,michoacan
ocampo,42.50,379.10,"4,672.95",2014.0,michoacan
periban,"12,378.00","137,268.22","2,179,778.26",2014.0,michoacan
purepero,290.62,"2,470.27","36,560.00",2014.0,michoacan
patzcuaro,190.00,"1,805.00","24,643.74",2014.0,michoacan
querendaro,20.00,80.00,"1,120.00",2014.0,michoacan
quiroga,59.00,523.00,"7,116.62",2014.0,michoacan
salvador escalante,"12,793.00","141,822.00","1,992,804.88",2014.0,michoacan
susupuato,175.00,"1,802.50","22,332.98",2014.0,michoacan
tacambaro,"13,760.00","140,782.18","2,134,622.28",2014.0,michoacan
tancitaro,"21,600.00","206,812.00","2,707,457.89",2014.0,michoacan
tangamandapio,"1,570.00","16,785.00","251,368.50",2014.0,michoacan
tangancicuaro,"1,232.54","13,434.69","194,803.01",2014.0,michoacan
taretan,905.00,"9,050.00","135,635.70",2014.0,michoacan
tarimbaro,20.00,120.00,"1,440.00",2014.0,michoacan
tingambato,"3,036.00","29,259.00","388,929.76",2014.0,michoacan
tinguindin,"2,240.00","25,968.00","393,006.95",2014.0,michoacan
tlazazalca,39.35,314.80,"4,406.78",2014.0,michoacan
tocumbo,509.00,"5,312.50","77,253.57",2014.0,michoacan
turicato,"2,582.00","28,787.50","385,171.23",2014.0,michoacan
tuxpan,312.00,"2,548.00","24,209.33",2014.0,michoacan
tzintzuntzan,14.00,110.00,"1,508.12",2014.0,michoacan
uruapan,"14,030.00","141,107.80","2,012,418.50",2014.0,michoacan
zinapecuaro,55.00,215.00,"2,932.00",2014.0,michoacan
ziracuaretiro,"3,770.00","34,935.50","496,220.73",2014.0,michoacan
zitacuaro,"1,104.50","11,293.25","144,754.64",2014.0,michoacan
cuernavaca,0.00,0.00,0.00,2014.0,morelos
huitzilac,0.40,3.40,32.20,2014.0,morelos
ocuituco,"1,400.00","11,255.00","100,798.24",2014.0,morelos
tepoztlan,44.00,409.20,"3,801.25",2014.0,morelos
tetela del volcan,"1,075.00","8,656.50","76,491.26",2014.0,morelos
tlalnepantla,242.00,"2,274.80","20,570.04",2014.0,morelos
tlayacapan,71.50,666.55,"6,219.21",2014.0,morelos
totolapan,100.00,910.00,"8,653.76",2014.0,morelos
yautepec,19.00,182.00,"1,754.21",2014.0,morelos
yecapixtla,448.00,"3,246.30","26,779.90",2014.0,morelos
ahuacatlan,4.50,38.25,276.67,2014.0,nayarit
amatlan de canas,2.00,15.20,64.60,2014.0,nayarit
bahia de banderas,4.00,24.00,127.00,2014.0,nayarit
compostela,9.00,74.90,516.90,2014.0,nayarit
ixtlan del rio,12.00,86.60,687.44,2014.0,nayarit
jala,20.50,152.90,"1,102.60",2014.0,nayarit
ruiz,6.00,31.50,189.66,2014.0,nayarit
san blas,414.00,"5,319.54","34,366.17",2014.0,nayarit
san pedro lagunillas,18.00,112.50,789.30,2014.0,nayarit
santa maria del oro,45.00,305.70,"2,545.50",2014.0,nayarit
tepic,"1,904.95","15,964.08","139,776.11",2014.0,nayarit
xalisco,"1,772.00","14,565.84","121,098.50",2014.0,nayarit
acatic,60.00,631.38,"11,066.61",2015.0,jalisco
acatlan de juarez,1.48,19.98,353.77,2015.0,jalisco
ahualulco de mercado,45.00,476.10,"9,366.84",2015.0,jalisco
amacueca,186.00,"1,567.98","16,670.70",2015.0,jalisco
ameca,118.00,"1,451.40","33,680.26",2015.0,jalisco
arandas,160.00,"1,445.28","24,365.50",2015.0,jalisco
atengo,61.00,642.03,"9,972.95",2015.0,jalisco
atenguillo,21.00,224.70,"4,687.99",2015.0,jalisco
atotonilco el alto,121.00,"1,694.00","40,656.00",2015.0,jalisco
atoyac,356.00,"3,075.84","33,821.23",2015.0,jalisco
autlan de navarro,60.00,210.00,"3,774.00",2015.0,jalisco
ayotlan,98.00,"1,372.00","21,035.74",2015.0,jalisco
ayutla,25.00,135.90,"1,761.30",2015.0,jalisco
cabo corrientes,13.00,104.00,"2,392.00",2015.0,jalisco
chiquilistlan,166.30,"1,829.30","32,817.06",2015.0,jalisco
concepcion de buenos aires,962.34,"7,106.68","147,339.23",2015.0,jalisco
cuautitlan de garcia barragan,92.00,564.88,"7,681.53",2015.0,jalisco
degollado,38.00,570.00,"8,882.18",2015.0,jalisco
el arenal,50.00,460.50,"7,919.19",2015.0,jalisco
el limon,1.50,3.00,48.00,2015.0,jalisco
etzatlan,8.00,83.04,"1,637.19",2015.0,jalisco
gomez farias,665.60,"5,689.48","70,889.88",2015.0,jalisco
ixtlahuacan del rio,36.00,429.00,"6,772.54",2015.0,jalisco
jesus maria,70.00,813.50,"13,805.67",2015.0,jalisco
jocotepec,30.00,396.00,"4,752.00",2015.0,jalisco
la barca,25.00,330.75,"6,871.59",2015.0,jalisco
la manzanilla de la paz,184.40,"1,046.97","21,019.52",2015.0,jalisco
magdalena,9.00,92.16,"2,341.53",2015.0,jalisco
mascota,42.00,495.60,"10,920.50",2015.0,jalisco
mazamitla,251.88,"1,871.26","37,375.83",2015.0,jalisco
mixtlan,8.00,93.60,"2,127.97",2015.0,jalisco
ocotlan,1.00,12.36,149.57,2015.0,jalisco
pihuamo,45.00,315.00,"3,752.40",2015.0,jalisco
puerto vallarta,15.00,120.00,"2,760.00",2015.0,jalisco
quitupan,337.55,"2,540.16","53,846.50",2015.0,jalisco
san cristobal de la barranca,4.00,49.60,858.87,2015.0,jalisco
san gabriel,830.74,"6,941.42","78,568.66",2015.0,jalisco
san juanito de escobedo,15.00,149.70,"2,842.92",2015.0,jalisco
san pedro tlaquepaque,8.00,112.84,"2,127.95",2015.0,jalisco
san sebastian del oeste,6.00,49.80,"1,129.12",2015.0,jalisco
santa maria de los angeles,7.00,41.30,562.31,2015.0,jalisco
sayula,680.71,"4,411.00","62,019.28",2015.0,jalisco
tala,98.00,834.40,"15,163.44",2015.0,jalisco
talpa de allende,30.00,312.00,"7,257.37",2015.0,jalisco
tamazula de gordiano,727.00,"9,035.50","111,754.94",2015.0,jalisco
tapalpa,682.00,"6,820.00","118,376.17",2015.0,jalisco
tecalitlan,186.00,"1,509.40","18,226.28",2015.0,jalisco
techaluta de montenegro,75.10,597.04,"6,400.35",2015.0,jalisco
tecolotlan,21.00,232.49,"3,710.31",2015.0,jalisco
tenamaxtlan,0.00,0.00,0.00,2015.0,jalisco
teocuitatlan de corona,47.00,378.35,"4,125.26",2015.0,jalisco
tepatitlan de morelos,150.00,"1,575.00","26,606.99",2015.0,jalisco
tequila,23.00,271.40,"5,968.09",2015.0,jalisco
teuchitlan,5.50,50.70,919.44,2015.0,jalisco
tizapan el alto,20.00,200.00,"2,400.00",2015.0,jalisco
tlajomulco de zuniga,25.25,357.63,"6,398.11",2015.0,jalisco
toliman,52.50,181.25,"3,589.75",2015.0,jalisco
tonila,506.00,"6,165.00","89,470.78",2015.0,jalisco
tototlan,25.00,300.00,"6,960.00",2015.0,jalisco
tuxcueca,5.00,67.50,810.00,2015.0,jalisco
tuxpan,530.00,"6,668.00","97,608.10",2015.0,jalisco
valle de juarez,31.80,212.38,"4,166.65",2015.0,jalisco
villa purificacion,60.00,259.20,"3,516.31",2015.0,jalisco
zacoalco de torres,22.00,176.88,"1,993.33",2015.0,jalisco
zapopan,25.00,395.00,"7,029.91",2015.0,jalisco
zapotiltic,577.60,"7,220.00","104,645.81",2015.0,jalisco
zapotitlan de vadillo,250.00,"1,328.00","25,075.24",2015.0,jalisco
zapotlanejo,0.00,0.00,0.00,2015.0,jalisco
zapotlan el grande,"2,920.10","24,241.02","322,278.32",2015.0,jalisco
almoloya de alquisiras,498.00,"5,450.36","52,895.04",2015.0,mexico
amanalco,17.50,192.50,"2,117.50",2015.0,mexico
amatepec,35.50,181.50,"2,374.75",2015.0,mexico
atlautla,112.00,"1,146.31","10,256.21",2015.0,mexico
coatepec harinas,"1,931.00","30,638.00","348,442.58",2015.0,mexico
donato guerra,"1,128.36","12,095.06","152,274.78",2015.0,mexico
ecatzingo,34.00,312.10,"2,696.09",2015.0,mexico
ixtapan de la sal,18.00,227.50,"2,581.00",2015.0,mexico
ixtapan del oro,134.00,"1,454.80","17,289.88",2015.0,mexico
joquicingo,135.00,"3,307.50","36,382.50",2015.0,mexico
luvianos,30.00,210.00,"2,520.00",2015.0,mexico
malinalco,213.00,"2,067.00","21,870.13",2015.0,mexico
ocuilan,141.00,"1,262.00","15,179.50",2015.0,mexico
otzoloapan,3.00,22.50,247.50,2015.0,mexico
ozumba,40.00,386.00,"3,448.04",2015.0,mexico
san simon de guerrero,20.00,142.05,"1,549.31",2015.0,mexico
santo tomas,50.00,500.00,"6,000.00",2015.0,mexico
sultepec,75.50,"1,107.59","11,975.84",2015.0,mexico
tejupilco,48.00,340.80,"3,688.00",2015.0,mexico
temascaltepec,"1,175.00","9,965.20","110,577.25",2015.0,mexico
tenancingo,793.00,"6,983.50","77,086.90",2015.0,mexico
tepetlixpa,36.00,390.88,"3,537.10",2015.0,mexico
texcaltitlan,6.00,63.30,497.70,2015.0,mexico
valle de bravo,165.00,"1,860.00","21,720.00",2015.0,mexico
villa guerrero,220.00,"2,497.00","24,681.16",2015.0,mexico
villa de allende,410.85,"5,701.40","68,689.50",2015.0,mexico
zacazonapan,1.50,17.25,207.00,2015.0,mexico
zacualpan,13.00,182.00,"2,288.00",2015.0,mexico
acuitzio,"1,180.85","9,279.72","113,369.85",2015.0,michoacan
aguililla,70.00,756.70,"7,214.93",2015.0,michoacan
apatzingan,380.82,"3,884.36","41,074.85",2015.0,michoacan
ario,"11,619.00","134,452.17","1,983,762.64",2015.0,michoacan
charapan,652.00,"3,260.00","43,161.23",2015.0,michoacan
charo,36.70,146.80,"1,682.70",2015.0,michoacan
chilchota,702.13,"5,687.25","79,537.27",2015.0,michoacan
coalcoman de vazquez pallares,200.00,"2,336.00","21,659.42",2015.0,michoacan
copandaro,2.00,12.00,149.26,2015.0,michoacan
cotija,"1,397.00","13,355.65","166,684.57",2015.0,michoacan
erongaricuaro,432.00,"5,412.96","79,250.71",2015.0,michoacan
hidalgo,22.00,173.80,"1,874.38",2015.0,michoacan
huiramba,81.00,816.48,"11,670.99",2015.0,michoacan
irimbo,92.00,690.00,"6,488.48",2015.0,michoacan
